# nextLevelClosed 13
# nextLevelOpen 12

# 5 6		# 6 5
# 7 8		# 8 7
# 9 10		# 10 9
# 26 27	# 27 26

# 11 0

# count 27

# width 16 
# height 16 

# textureMap 
62 39 49	115 62 57 	115 62 57 	24 20 37 	24 20 37 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	135 77 64 	24 20 37 	24 20 37 	47 31 44 	47 31 44 	47 31 44 
58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	0 255 0 	0 255 0 	0 255 0 	0 255 0 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	34 38 61 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 

58 68 102 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	58 68 102 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 
38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	0 0 255 	0 0 255 	0 0 255 	0 0 255 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	0 0 255 	0 0 255 	0 0 255 	0 0 255 	0 0 255 	0 0 255	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	0 0 255 	0 0 255 	0 0 255 	0 0 255 	0 0 255 	0 0 255 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 
69 82 114 	69 82 114 	69 82 114 	38 43 68 	58 68 102 	0 0 255 	0 0 255 	0 0 255 	0 0 255 	0 0 255 	0 0 255 	34 38 61 	69 82 114 	69 82 114 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	0 0 200 	0 0 255 	0 0 255 	0 0 255 	0 0 255 	0 0 200 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	0 0 200 	0 0 200 	0 0 200 	0 0 200 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	34 38 61 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 

58 68 102 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	58 68 102 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 
38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	0 0 255 	0 0 255 	0 0 255 	0 0 255 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	0 0 255 	0 0 255 	0 0 255 	0 0 255 	0 0 255 	0 0 255	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 
69 82 114 	69 82 114 	69 82 114 	38 43 68 	58 68 102 	0 0 255 	0 0 255 	0 0 255 	0 0 255 	0 0 255 	0 0 255	34 38 61 	69 82 114 	69 82 114 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	0 0 255 	0 0 255 	0 0 255 	0 0 255 	0 0 255 	0 0 255	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	0 0 255 	0 0 255 	0 0 255 	0 0 255 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	34 38 61 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 

158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59
158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59	158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59
158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59	158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59
158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59	158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59
158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59	158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59
158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59	158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59
158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59	158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59
158 102 59	222 143 82	222 143 82	222 143 82	158 102 59	158 102 59	222 143 82	158 102 59	158 102 59	222 143 82	158 102 59	158 102 59	222 143 82	222 143 82	222 143 82	158 102 59
158 102 59	222 143 82	222 143 82	222 143 82	158 102 59	158 102 59	222 143 82	158 102 59	158 102 59	222 143 82	158 102 59	158 102 59	222 143 82	222 143 82	222 143 82	158 102 59
158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59	158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59
158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59	158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59
158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59	158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59
158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59	158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59
158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59	158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59
158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59	158 102 59	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	222 143 82	158 102 59
158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59	158 102 59

80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76
34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76	34 177 76
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80

80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0
186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0	186 0 0
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80	80 80 80	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	153 153 153	80 80 80
80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80	80 80 80

58 68 102 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	69 82 114 	0 0 0  	0 0 0  	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	0 0 0  	0 0 0  	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	0 0 0  	0 0 0  	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	0 0 0  	0 0 0  	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 
38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	0 0 0  	0 0 0  	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	0 0 0  	0 0 0  	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	0 0 0  	0 0 0  	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	0 0 0  	0 0 0  	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 
69 82 114 	69 82 114 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	0 0 0  	0 0 0  	69 82 114 	69 82 114 	34 38 61 	69 82 114 	69 82 114 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	0 0 0  	0 0 0  	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	0 0 0  	0 0 0  	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	34 38 61 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	0 0 0  	0 0 0  	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 	0 0 0  	0 0 0  	69 82 114 	69 82 114 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	0 0 0  	0 0 0  	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	0 0 0  	0 0 0  	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	0 0 0  	0 0 0  	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 

58 68 102 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	58 68 102 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 
38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  
0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  
58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	34 38 61 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 

58 68 102 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	69 82 114 	0 0 0  	0 0 0  	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	0 0 0  	0 0 0  	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	0 0 0  	0 0 0  	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	0 0 0  	0 0 0  	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 
38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	0 0 0  	0 0 0  	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	0 0 0  	0 0 0  	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	0 0 0  	0 0 0  	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  
69 82 114 	69 82 114 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  	0 0 0  
58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
